id,title
B0000004VN,Tear Down These Walls
B0000004TW,Flock of Seagulls
B00000050R,Get in Where Ya Fit in
B0000004X1,Edutainment
B0000004YH,Sex &amp; Violence
B000000509,Return of the Boom Bap
B00000051K,Down &amp; Dirty
B00000050T,12-Play
B00000050N,Super Tight
B00000052P,Game Related
B00000051G,Mail Man
B000000548,Enigma
B000000518,Age Ain't Nothing But a Number
B0000004ZO,Too Hard to Swallow
B00000052Y,Krs-One
B00000053Q,Ridin Dirty
B00000053Y,Backstreet Boys
B00000054J,Six Figures
B00000053B,R Kelly
B0000004YX,Spice 1
B000000545,Hemp Museum
B00000054H,I Got Next
B00000051V,Hi-Five: Greatest Hits
B00000053X,Backstreet Boys
B000000559,Unpredictable
B000000534,Do Or Die
B00000054A,The Black Bossalini
B00000053G,Mind of Mystikal
B00000055E,R U Still Down
B0000004YB,Shorty the Pimp
B00000055F,R U Still Down
B000000536,Killa Kali
B000000541,Tha Hall of Game
B0000005GB,Bluegrass at Carnegie Hall With the Country Gentlemen
B000000504,187 He Wrote
B00000052I,In a Major Way
B00000051I,Federal
B000000572,Heat 4 Yo Azz
B00000050J,Best of
B00000050H,Fear Itself
B0000005PA,I Feel So Bad
B0000005PK,Someday You'll Have These Blues
B0000005P2,Battleground
B0000005S3,I Hate These Songs
B0000005OO,Lonesome Strangers
B0000005S0,Blue Pony
B0000005XM,Die For The Government
B0000005X6,The Complete Studio Recordings -Volume 1
B0000005X7,The Complete Studio Recordings - Volume 2
B0000005WT,Billy
B00000063K,Industry
B00000063H,Malembe
B00000064E,Five Leaves Left
B00000064F,Bryter Layter
B00000064G,Pink Moon
B0000006E3,Heat Wave
B0000006P9,Flying South
B0000006QO,E Street
B0000007SV,Transfer Station Blue
B0000008OF,Be Thankful for What You Got
B0000008SX,Why Can't We Live Together
B000000946,Magic
B0000008ZY,Honey: The Best Of Bobby Goldsboro
B0000009AC,Unshaven: Live
B0000009AN,Subliminal Plastic Motives
B0000009OU,This Year's Model
B0000009QN,On Fire
B0000009QM,Today
B0000009QY,Copenhagen
B0000009R2,Bothy Culture
B0000009QO,This Is Our Music
B0000009UX,Imperial Bedroom
B0000009UZ,Goodbye Cruel World
B0000009UW,Almost Blue
B0000009WH,Sound &amp; Vision
B0000009UL,Live-Mongoloid Years
B0000009V1,Blood &amp; Chocolate
B0000009UT,Armed Forces
B0000009XZ,Live in Japan
B0000009YA,Serious Business
B0000009YB,Showdown
B0000009QT,The Charity of Night
B000000A10,Blue Streak
B000000A42,Curtain Hits the Cast
B000000A0X,In Your Eyes
B000000A0L,Blue Blazes
B000000A1K,Ticket to Chicago
B000000BE3,Remnants of a Deeper Purity
B000000BTN,Nasty
B000000CGZ,Back to the Hotel
B000000CMP,I Specialize In Love 1982-1994
B000000CYO,Best Of Delbert McClinton
B000000DAY,"Rowdy: Original Classic Hits, Vol. 6"
B000000DAO,"One Night Stand: Original Classic Hits, Vol.1"
B000000D4B,Desert Rose Band
B000000DB4,"Strong Stuff: Original Classic Hits, Vol. 9"
B000000DBM,Greatest Songs - Brook Benton
B000000D1V,"Complete Collection, The"
B000000D7C,"Hank Williams, Jr.'s Greatest Hits, Vol.1"
B000000DAW,"Habits Old And New: Original Classic Hits, Vol. 5"
B000000DAQ,"The New South: Original Classic Hits, Vol. 2"
B000000DH2,Bonavista
B000000DAS,"Family Tradition: Original Classic Hits, Vol. 3"
B000000D7E,"Hank Williams, Jr.'s Greatest Hits, Vol.2"
B000000EBH,Best of
B000000EB9,On Stage
B000000ECP,In Concert
B000000EDW,Joan Baez 2
B000000EE2,In Concert 1
B000000EE4,In Concert 2
B000000EGO,Long Journey Home
B000000EF8,Blessed Are
B000000EGI,Treasures Untold
B000000ECX,Joan Baez: Rare Live &amp; Classic
B000000EFC,Personal Belongings
B000000EJX,Devil Got My Woman
B000000EK3,I'm Gonna Be a Country Girl Again
B000000EKW,Joan Baez - Hits: Greatest &amp; Others
B000000EN4,Look Left
B000000EMD,String Wizards
B000000EK0,Good Deal! Doc Watson In Nasvhille
B000000EMI,Twilight Motel
B000000EKM,She Used to Wanna Be a Ballarina
B000000EO1,String Wizard's Picks: The Best Of John McEuen
B000000EVY,At My Window
B000000EXB,Lubbock (On Everything)
B000000EZ6,Church Street Blues
B000000EG6,Driftin Way of Life
B000000EYL,One Way Track
B000000EYS,Early Dawg
B000000EW1,All Broken Hearts Are the Same
B000000EYE,Sugar Hill Collection
B000000EXO,Rear View Mirror
B000000EZ3,Morning Sky
B000000EYT,Long Time Gone
B000000EUU,"The Truth, The Whole Truth And Nothing But The Truth"
B000000EZ2,Busy Bee Cafe
B000000EYP,Skaggs &amp; Rice
B000000F1Z,My Dear Old Southern Home
B000000EYY,Walls of Time
B000000EZN,Blue Ridge
B000000EZQ,First Whippoorwill
B000000EZ8,Peter Rowan &amp; Red Hot Pickers
B000000F22,Slide Rule
B000000F3F,Tree on a Hill
B000000EYV,Hillmen
B000000F2U,Back to Red River
B000000F3S,One Beautiful Day
B000000F06,New Moon Rising
B000000EZI,Desert Rose
B000000F5C,Bluegrass Boy
B000000END,Departure
B000000F1S,All on a Rising Day
B000000F52,Red on Blonde
B000000F2A,New Frontier
B000000F0R,Classic Country Gents Reunion
B000000F5M,When No One's Around
B000000F5A,Dream Scene
B000000EMO,String Wizards II
B000000F8V,13 Flavors of Doom
B000000F2Q,Waitin' For the Hard Times to Go
B000000F4I,Unleashed
B000000F99,Loggerheads
B000000F8I,Dawning of a New Error
B000000EYM,Sweet Temptation
B000000FG5,Take a Ride
B000000FWG,Don't Talk Just Listen
B000000FWL,Don't Talk Just Listen
B000000G00,Light to Dark
B000000FX6,Bass Is the Name of the Game
B000000FYX,Supernatural
B000000FX9,Back to Haunt You
B000000FXT,Bass the Final Frontier
B000000FXR,Twenty Degrees Below Zero
B000000GBG,The Third Power
B000000HHU,The Devil Made Me Do It
B000000HHI,All Hail the Queen
B000000HJO,It Takes a Thief
B000000HJ5,Gorgeous
B000000HOB,Mustt Mustt
B000000HLL,This Is Your Night
B000000HKV,Gangsta's Paradise
B000000HF0,One More Night
B000000HQ1,Earth A.D. &amp; Die Die My Darling
B000000HPS,Big City Secrets
B000000HRS,Product
B000000HT2,Youth Are Getting Restless
B000000HRP,Unorthodox Behavior
B000000HSU,Rock for Light
B000000HW3,Baby's Angry
B000000HZI,Scree: Rarities 1978-1981
B000000I0D,Crises
B000000I0G,Five Miles Out
B000000I32,Black Dots
B000000I2R,Static Age
B000000I0H,Incantations
B000000I34,Mic City Sons
B000000IDJ,Ben Folds Five
B000000IKA,Un Peu De L'Ame Des Bandits
B000000IMY,Kaleidoscope World
B000000INL,"Continued Story and Hi, How Are You: The Unfinished Album"
B000000IM1,Bird Dog
B000000IRN,Songs for Swingin Lovers
B000000ISE,Mr Fantasy
B000000IIQ,Music for Parties
B000000J1Q,In Place of Real Insight
B000000IS5,Somethin Else
B000000JKM,Blase
B000000MAL,All About Comin Up
B000000M4K,Intolerance
B000000MAS,Sex Money &amp; Murder
B000000N8Z,That's When I Know
B000000NN1,Heaven &amp; Hell
B000000NMZ,Spiral
B000000OB7,Against the Law
B000000OJR,Party to the Bus Stop
B000000OIH,Stratosphere Breakdown
B000000OJB,Mission Impossible
B000000OMB,Asia
B000000OOE,Loser
B000000OPK,Kiss in Dreamhouse
B000000OIF,Money Spyder
B000000ORH,Heart of Stone
B000000OPC,Building the Perfect Beast
B000000ORL,Flying Cowboys
B000000OPZ,Whitesnake
B000000OQS,Chalk Mark in a Rain Storm
B000000ORX,Night Ride Home
B000000OQL,Robbie Robertson
B000000ORE,Great Radio Controversy
B000000OPM,Once Upon A Time/The Singles
B000000ORJ,Letter From Home
B000000OT3,Jackyl
B000000OT5,Twice Upon a Time: The Singles
B000000OTG,Traffic From Paradise
B000000OQW,Shooting Rubberbands At The Stars
B000000OSL,Pop Pop
B000000OQ5,Mechanical Resonance
B000000OVC,Supersexy Swingin' Sounds
B000000OUS,Time's Makin' Changes - The Best of Tesla
B000000OUJ,Liquid Swords
B000000ORB,The End of the Innocence
B000000OSU,Back to Basics: The Essential Collection 1971-1992
B000000OXD,Planet P Project
B000000OU9,Tails
B000000OWM,American Psycho
B000000OME,Wild Things Run Fast
B000000OXE,Points on the Curve
B000000OYT,Streets Of This Town
B000000OYK,Cher
B000000OXT,Warming Up to the Ice Age
B000000OYM,House of Dolls
B000000P0N,You Gotta Sin to Get Saved
B000000OUU,Actual Miles: Henley's Greatest Hits
B000000OWT,Firecracker
B000000P08,American in Me
B000000OWW,Total Madness - Very Best of Madness
B000000OYB,Mosaic
B000000P0W,Thirteen
B000000OYQ,Outrider
B000000P0G,Everywhere at Once
B000000PRS,I Know a Place
B000000QGJ,Hand to Mouth
B000000QN9,Everybody's Blues
B000000QP5,Deadly Verses
B000000QPM,Controversee...That's Life...And That's the Way It Is
B000000TDH,Tragic Kingdom [Vinyl]
B000000UN4,Our Little Secret
B000000UU3,Shot of Love
B000000V0M,Journey Into the Morn
B000000V5O,Sarah Masen
B000000VC2,Amor Prohibido
B000000V5V,Steven Curtis Chapman: Greatest Hits
B000000V4G,Steel Witness
B000000W2X,Blessing
B000000W2Z,Here Come the Lords
B000000W54,Hyperborea
B000000W78,Welcome to the Real World
B000000W6X,Protection
B000000W7W,Mr Scarface Is Back
B000000W8J,Secret of the Hidden Temple
B000000W80,Uncut Dope
B000000W7O,World Is Yours
B000000W98,Operation Stackola
B000000W6K,True Spirit
B000000WA0,Rated G
B000000WBB,Resurrection
B000000WAP,Other Side of the Law
B000000WAU,Blackwater
B000000WBR,One Mississippi
B000000WCT,Becoming X
B000000WF5,Lunitik Muzik
B000000WFH,Usual Suspects
B000000WEL,Runaway Sunday
B000000WGX,Keep on Movin
B000000WFS,4 Tha Hard Way
B000000WGZ,Key Lime Pie
B000000WCV,Homework
B000000WHB,Volume 2-1990: New Decade
B000000WGN,Mystery Girl
B000000WHW,Laughter &amp; Lust
B000000WIQ,Singin' the Blues / The Blues
B000000WGP,After 7
B000000WGF,Forever Your Girl
B000000WIJ,East Side Story
B000000WHD,Hispanic Causing Panic
B000000WJ5,Home Brew
B000000WJA,Are You Gonna Go My Way
B000000WH4,Porcelain
B000000WJ8,Boom Boom
B000000WZ4,Ultra
B000000WZG,Devil Hopping
B000000XD1,Clear
B000000XDR,Paradise With an Ocean View
B000000XE6,Blues on Broadway
B000000XF2,Boogie Chillun
B000000XFC,Midnight Special
B000000XFS,Mongo's Greatest Hits
B000000XJ9,Virtuoso 2
B000000XNJ,J.A.T.P. In Tokyo - Live at the Nichigeki Theatre 1953
B000000XT5,Prime Time
B000000XUM,10 De Paco
B000000XU2,Mongo Introduces La Lupe
B000000XNM,Musician Composer Raconteur
B000000XYB,That's My Story
B000000Y0G,Sonny Rollins With The Modern Jazz Quartet
B000000XWG,Black Coffee
B000000Y24,In San Francisco
B000000Y1H,Brilliant Corners
B000000Y2R,Jazz at Massey Hall
B000000Y1M,Jazz Contrasts
B000000Y1B,Plays Duke Ellington
B000000XZK,At Folk City
B000000Y2C,Caravan
B000000Y45,Freedom Suite
B000000Y65,This Here is Bobby Timmons
B000000Y1W,Things Are Getting Better
B000000Y1E,New Jazz Conceptions
B000000Y5M,Blue Haze
B000000Y5Y,Straight Ahead
B000000Y52,Monk's Music
B000000YDT,Bags Groove
B000000YES,Boss Guitar
B000000YCF,Honeydripper
B000000YAR,Blue Gene
B000000YAL,Relaxin' with the Miles Davis Quintet
B000000YCZ,Alone in San Francisco
B000000Y4S,Settin the Pace
B000000YD3,So Much Guitar
B000000Y84,Groove Yard
B000000Y6E,Bossa Nova Pelos Passaros
B000000YFD,Mambo With Tjader
B000000YFS,Sabroso
B000000YFH,Plays Mambo
B000000YGZ,It Could Happen To You
B000000YG5,Saxophone Colossus
B000000YIQ,Way Out West
B000000YDR,Funky
B000000YJM,Black Pearls
B000000YJ1,The Fox
B000000YKB,In Person
B000000YFK,Stan Getz With Cal Tjader
B000000YNA,Night Hawk
B000000YO1,Nippon Soul
B000000YPQ,New Boss Guitar of George Benson
B000000YRE,Mongo at the Village Gate
B000000YOU,Afro-Cuban Jazz Moods
B000000YUJ,Cal Tjader's Latin Concert
B000000YUG,Latin Kick
B000000YJK,Bad Bossa Nova
B000000YWT,Stitt Meets Brother Jack
B000000YZR,Encounter
B000000Z0R,Blue Stompin
B000000YZU,What Is This Thing Called Soul
B000000YZL,Preachin
B000000Z1Z,The Latin Side of Vince Guaraldi
B000000Z13,Soul Call
B000000Z3B,Bluesy Burrell
B000000Z3R,Late Hour Special
B000000Z3Y,Canyon Lady
B000000Z35,Stardust
B000000Z3U,Guitar Artistry
B000000Z0G,Dizzy's Party
B000000ZD9,Organ Combos
B000000ZCZ,Soul Meeting
B000000ZCY,Monterey Concerts
B000000ZDP,Soul Summit
B000000ZE0,The Boss Is Back
B000000ZF1,Chase
B000000ZEM,Talk That Talk
B000000ZE2,Crash
B000000ZHD,Isaac Hayes Movement
B000000ZHM,To Be Continued
B000000ZGF,Money Talks
B000000ZGT,Be Altitude: Respect
B000000ZHQ,Woman to Woman
B000000ZHO,That's Where It's At!
B000000ZGO,Hot Buttered Soul (Remastered)
B000000ZKD,Mclemore Avenue
B000000ZEB,Up Tight
B000000ZLL,Staple Swingers
B000000ZJF,I Wanna Get Funky
B000000ZFH,Living Black
B000000ZID,Lovejoy
B000000ZGK,Whatcha See Is Whatcha Get
B000000ZLT,Good to Me-Live at the Whiskey 2
B000000ZMS,Black Moses
B000000ZMF,Presenting Isaac Hayes
B000000ZN5,Dedicated to the One I Love
B000000ZN4,Private Numbers
B000000ZKJ,Mr Big Stuff
B000001031,How Much Can You Take
B000001166,Mercy
B0000011C1,Death May Be Your Santa Claus
B0000011CU,Vixen / Windstorm
B0000011GU,Ska Uprising
B0000011MD,Burglar
B0000011N5,A Gift From A Flower To A Garden
B0000011P7,Walk Into Light
B0000011X5,Stackridge
B0000011XM,United States of America
B0000011WE,Man In The Bowler Hat
B00000127G,Thru My Eyes
B0000012T3,Definition of a Band
B00000131M,Out of the Valley
B0000013GB,Southernplayalisticadillacmuzik
B0000013GT,Atliens
B0000013GH,Secrets
B0000013G5,Toni Braxton
B0000013GL,Words
B00000163G,All Eyez on Me
B00000175R,On The Nile
B0000017AP,When a Man Loves a Woman
B00000181E,Jazz &amp; Samba
B0000018AU,In Your Bright Ray
B00000189I,This Nation's Saving Grace
B0000019H4,Intellectuals Are the Shoeshine Boys
B0000019GE,Songs About Fucking
B0000019G5,Die Kreuzen / October File
B0000019GB,HEADACHE (EP) [Vinyl]
B0000019GG,Merry Go Round
B0000019H6,Twelve Point Buck
B0000019K2,Fourth &amp; Final
B0000019HQ,Life of Crime/YOu Can't Pray A Lie
B0000019IM,Uncompromising War on Art Under Dictatorship
B0000019IC,Total Recall
B0000019KE,Slint
B0000019KK,Hard Times
B0000019KU,At Action Park
B0000019HU,Spiderland
B0000019J8,Crawl
B0000019JY,For Respect
B0000019IQ,Taste of Prison
B0000019KN,Tweez
B0000019MA,Soul of a New Machine
B0000019M6,Shapes
B0000019LM,Exploded Drawing
B0000019M4,We Didn't See You on Sunday
B0000019LE,Hissing Prigs in Static Couture
B0000019LF,Experiment Zero [Vinyl]
B0000019JP,Kernel
B0000019JH,Que Sirhan Sirhan
B0000019M1,Electro Shock for President
B0000019H8,Luv 713
B0000019JS,Venus Luxure #1 Baby
B0000019KG,Cruise Yourself
B0000019LR,Horse Stories
B0000019J1,Fat Elvis
B0000019L8,House of Gvsb
B0000019M8,Made From Technetium
B0000019LJ,Deluxe Men in Space
B0000019LV,Fake Can Be Just As Good
B0000019K4,Xerxes
B0000019KQ,God Hears Pleas of the Innocent
B0000019QL,Refried Ectoplasm (Switched on Vol. 2)
B0000019KZ,Don Caballero 2
B000001A69,Old Socks New Shoes
B000001A5Z,Mister Magic
B000001A6X,Songs in the Key of Life
B0000019L3,Over &amp; Out
B000001A6N,Innervisions
B000001A8T,Anthology
B000001A9C,The Best of Marvin Gaye (Motown Anthology Series)
B000001A6T,Hugh Masekela &amp; Union of South Africa
B000001AAT,Let's Get the Mood Right
B000001A8C,The Best of Michael Jackson (Anthology Series)
B000001AA2,For Lovers Only
B000001A6R,Reconstruction
B000001A8H,Soulsation: 25th Anniversary Collection
B0000019M0,Stormandstress
B000001A5X,What's Going on
B000001ADW,The Jackson 5 - The Greatest Hits [1971]
B000001ADF,My Cherie Amour
B000001ADY,"&quot;Diana Ross &amp; The Supremes - Greatest Hits, Vol. 3&quot;"
B000001AEL,For Once in My Life
B000001AFF,Come Get It
B000001ABG,All the Great Hits
B000001AB1,In the Zone
B000001AFH,Evening With
B000001AAF,Take Me Higher
B000001AAB,Inner City Blues
B000001AFY,Diana Ross
B000001AFJ,Wild &amp; Peaceful
B000001AH0,Irons in the Fire
B000001ADD,Signed Sealed Delivered
B000001AK5,Johnny Gill
B000001AEE,Commodores
B000001AJO,Hotter Than July
B000001AJU,Characters
B000001AHT,Nightshift
B000001AHX,Street Songs
B000001AKR,Provocative
B000001AD0,ABC
B000001AG6,Greatest Performances
B000001ALK,Conversation Peace
B000001AKT,Forever Diana
B000001AO4,Favorites
B000001AMX,Ultimate Collection
B000001ANR,Evolution
B000001ALI,Cooleyhighharmony (Plus Spanish Tracks)-Boyz II Men
B000001AJI,In Square Circle
B000001ANM,Vulnerable
B000001AJK,Dancing on the Ceiling
B000001AM7,Bustin Out of L Seven
B000001AX5,Cannons in the Rain/Wingless Angels
B000001BZT,Copperhead Road
B000001C0G,"MLK: The Martin Luther King, Jr. Tapes"
B000001CRB,Groovin' High
B000001D7E,Accelerator
B000001D7P,Beyond the Infinite
B000001DQG,Caribou
B000001DSD,In-Sides
B000001DUK,A Decade of Hits 1969-1979
B000001DWE,Rod Stewart: The Mercury Anthology
B000001DUP,20 All Time Greatest Hits!
B000001DU5,Tears for Fears - Tears Roll Down: Greatest Hits 82-92
B000001DVR,"Elton John's Greatest Hits, Volume 2"
B000001DWX,"Love Power Peace: Live at the Olympia, Paris 1971"
B000001DXH,Rare Masters
B000001DW2,Knights Of The Sound Table
B000001DYH,Whisper a Prayer
B000001DXD,Connected
B000001DZR,Miserere
B000001DZ6,Sons of Soul
B000001DVP,Elton John - Greatest Hits
B000001DZA,Evolution
B000001DZU,The Payback
B000001E0O,A Night At Red Rocks With The Colorado Symphony Orchestra
B000001E1T,Shame &amp; A Sin
B000001DYS,The Best of CAMEO
B000001DZO,Gold: Greatest Hits
B000001E44,Wild &amp; Peaceful
B000001E56,Celebration: The Best of Kool &amp; the Gang 1979-1987
B000001E38,Mystic Voyage
B000001E58,Barry White : All-Time Greatest Hits
B000001E0U,Hot Pants
B000001E54,Best of Gap Band
B000001E5R,Dis Is Da Drum
B000001E0S,Sex Machine
B000001E46,In the House of Stone &amp; Light
B000001E42,Live At The Sex Machine
B000001E3Y,Junkfuel
B000001E8L,Your Little Secret
B000001E0W,Cardiac Arrest
B000001EB3,Street Gospel
B000001E5X,Best of
B000001DYY,Elemental
B000001EDN,Made In England
B000001E75,Get on the Good Foot
B000001E0Q,Revolution Of The Mind
B000001EF6,South of the Border: Verve Latin Jazz Sides
B000001E77,Hell
B000001EEP,His Majesty King Funk / Up With Donald Byrd
B000001EC1,Cross Road
B000001EFF,100 Degrees &amp; Rising
B000001EFW,Saturnine Martial &amp; Lunatic
B000001EGC,Madman Across the Water
B000001EGI,11-17-70
B000001EG2,Don't Shoot Me I'm Only the Piano Player
B000001EG6,Elton John
B000001EG8,Empty Sky
B000001EE8,Funky Good Time: Anthology
B000001EHQ,Moving On
B000001EIW,After the Storm
B000001EKJ,The Casablanca Years
B000001EBG,Dallas County Line
B000001EJU,Can't Get Enough
B000001EGA,Captain Fantastic and the Brown Dirt Cowboy
B000001EM1,Do We Speak a Dead Language
B000001ELZ,Best of 2
B000001EKE,Light of Worlds
B000001EGE,Honky Ch&acirc;teau
B000001EM3,Rock of the Westies
B000001EIU,Fencewalk: Anthology
B000001EP1,First Band on the Moon
B000001EOG,Sings for Someone You Love
B000001EHN,Spike Milligan
B000001EQC,C'Mon Kids
B000001ERK,3rd Perspective
B000001EVA,The Lion For Real (Explicit Version)
B000001EW7,The Very Best of 10cc
B000001ERI,Sweet Potato Pie
B000001EW3,Come On Over
B000001EXB,The Big Picture
B000001EUP,Blackout
B000001EWU,Anytime
B000001EXV,Invitation Only
B000001F4Z,She's Strange
B000001F2S,The Present
B000001F5K,World Shut Your Mouth
B000001F00,Best of
B000001F38,The Hurting
B000001F6A,A Question of Balance
B000001F4T,I've Got So Much to Give
B000001F4X,Bon Jovi
B000001F66,In Search of the Lost Chord
B000001F4B,The Crossing
B000001F9J,Gap Band 3
B000001EYI,The Best That I Could Do 1978-1988
B000001F6G,Octave
B000001F5Y,Long Distance Voyager
B000001FA7,Emergency
B000001F7V,Celebrate!
B000001FAO,Disraeli Gears
B000001FA9,Live At The Apollo
B000001FC0,Songs From The Big Chair
B000001F8P,On The Radio: Greatest Hits Volumes I &amp; II
B000001FBA,Gap Band 2
B000001F9P,Gap Band 4
B000001FCM,Mothership Connection
B000001F9T,Fried
B000001FE0,Odessa
B000001FB8,Gap Band I
B000001F6P,Blue Jays
B000001FAG,Sound Affects
B000001F7T,Spin Top Hits
B000001FCB,Elis &amp; Tom
B000001FF6,Heat Treatment
B000001FCE,Gold
B000001FCK,Funkentelechy Vs. the Placebo Syndrome
B000001F60,Seventh Sojourn
B000001FHB,Vivienne Mckone
B000001FIH,Timeless
B000001FD5,How to Be a Zillionaire
B000001FFJ,Rain Dogs
B000001FJV,In the Jungle Groove
B000001FJY,Champagne Jam
B000001FKJ,Cameosis
B000001FIR,Curb Servin
B000001FKH,Word Up
B000001FMU,First Chapter
B000001FJW,World Machine
B000001FNE,Idea
B000001FNN,Everybody Loves the Sunshine
B000001FOJ,P-Funk Earth Tour
B000001FND,Horizontal
B000001FMV,Sharp
B000001FOF,Don't Be Afraid of the Dark
B000001FT9,Fighting
B000001FQK,Pickin on Nashville
B000001FT2,Nightclubbing
B000001FQI,Seeds of Love
B000001FU9,Up for the Down Stroke
B000001FU5,Warm Leatherette
B000001FPI,Stone Gon'
B000001FVL,Age of Plastic
B000001FU6,Slave To The Rhythm
B000001FSN,Clues
B000001FTX,Traffic
B000001FQM,The Real Thing
B000001FRU,Carved in Sand
B000001FUB,Clones of Dr Funkenstein
B000001FXV,Bob Marley and the Wailers Live!
B000001FUF,Gloryhallastoopid
B000001FWQ,"James Brown Live At The Apollo, 1962"
B000001FV6,Rhythm Killers
B000001FZ6,The Layla Sessions: Layla and Other Assorted Love Songs
B000001FYV,Midnight Stroll
B000001G00,Latour
B000001G09,Contradiction
B000001FTS,Secret Wish
B000001G07,Honey
B000001G14,Surprise
B000001FYF,Dead City Radio
B000001FZW,Dream Fulfilled
B000001FU8,Living My Life
B000001G03,Skin Tight
B000001FUJ,Seven Year Itch
B000001G0U,Yes I Am
B000001G0E,Wolf in Sheep's Clothing
B000001G0Q,Brian McKnight
B000001FZH,Move to This
B000001H5N,Salsoul
B000001H93,Feelings
B000001HQP,Drunk
B000001HQN,West of Rome
B000001I0O,Beauty and The Beat
B000001I0C,Call of the West
B000001I0R,All the Rage
B000001IO3,What We Believe
B000001INC,Willis
B000001IPS,Punk in Drublic
B000001ISS,Everything Sucks
B000001IU1,So Long &amp; Thanks for All the Shoes
B000001IOJ,Four on the Floor
B000001IR5,Firme
B000001ITN,Thicker Than Water
B000001J6I,Doot Doot
B000001JOR,Don't Forget the Chaos
B000001L1E,Strugglin Lady
B000001LDL,Cost of Living
B000001MFN,Fourth World
B000001O4U,Solja Stories
B000001ONK,Next Episode
B000001PGZ,What You Won't Do for Love
B000001QJN,Rock Your Baby: Best of
B000001QQG,G4
B000001QPX,Everybody Wants Some
B000001QPK,So Def So Fresh So Stupid
B000001QN4,Jam on It/Extra Ts b
B000001QRZ,Feel So Free
B000001QQE,Boom I Got Your Girlfriend
B000001R8H,Age of Love
B000001R7M,Dominator-Cd5
B000001S71,DJ Laz
B000001S7B,It's My Cadillac
B000001S7N,Bass Cube 1
B000001SCU,Bass Bowl 1
B000001SLY,Wolfways
B000001UA6,Headin Home
B000001UNF,Carnival of Carnage
B000001U4Y,Windsong
B000001UK0,Lesson to Be Learned
B000001UKE,Ruthless By Law
B000001VEW,Rocky Mountain High
B000001VEY,Calypso
B000001VYB,Immortal
B000001X2H,Young &amp; Jaded
B000001X3C,This Is Teen-C Power
B000001XB9,Big Rusty Balls
B000001X2X,Klassics With a K
B000001X3I,Something to Remember Me By
B000001XLO,Don't Mess Wit Texas
B000001X2Q,Granpaw Would
B000001XQA,Unwound
B000001XUH,Ditch Diggin'
B000001Y28,Subliminal Sandwich
B000001Y15,The Don Killuminati (The 7 Day Theory)
B000001Y16,Don Killuminati
B000001Y17,Don Killuminati the 7 Day Theory
B000001XY7,Bim Bam Bum (1935-1940)
B000001Y13,Doggfather
B000001Y5B,No Doubt
B000001Y1B,The Aftermath
B000001Y3J,Necessary Roughness
B000001Y47,Brown Album
B000001Y5D,"Bigger, Better, Faster, More!"
B000001Y4M,Fush Yu Mang
B000001Y5F,Meantime
B000001Y61,Blackstreet
B000001Y4W,Beacon Street Collection
B000001Y73,Tales From the Punchbowl
